tanggal,platform,rating,review,ai_result,room_quality,service_quality,cleanliness,facilities,checkin_experience
2026-04-10,agoda.com,5,"Friendly staff, but the wifi connection was terrible.","{
  ""room_quality"": ""Neutral"",
  ""service_quality"": ""Positive"",
  ""cleanliness"": ""Neutral"",
  ""facilities"": ""Negative"",
  ""checkin_experience"": ""Neutral""
}",Neutral,Positive,Neutral,Negative,Neutral
02-03-2026,Agoda,8.0 / 10,"kamar luas, view bagus. proses checkin juga sat set ga pake lama. recommended! <br><br>","{
  ""room_quality"": ""Positive"",
  ""service_quality"": ""Positive"",
  ""cleanliness"": ""Neutral"",
  ""facilities"": ""Neutral"",
  ""checkin_experience"": ""Positive""
}",Positive,Positive,Neutral,Neutral,Positive
16/03/2026,agoda.com,3/10,overprice! ga sesuai foto. kamarnya sempit bgt sumpek.,"{
  ""room_quality"": ""Negative"",
  ""service_quality"": ""Neutral"",
  ""cleanliness"": ""Neutral"",
  ""facilities"": ""Neutral"",
  ""checkin_experience"": ""Neutral""
}",Negative,Neutral,Neutral,Neutral,Neutral
2026-03-09,Agoda,2,Staff barely speaks English. Breakfast was awful.,"{
  ""room_quality"": ""Neutral"",
  ""service_quality"": ""Negative"",
  ""cleanliness"": ""Neutral"",
  ""facilities"": ""Negative"",
  ""checkin_experience"": ""Neutral""
}",Neutral,Negative,Neutral,Negative,Neutral
2026-04-13,Traveloka,4.0,"overall bagus bgt, bersih dan nyaman. anak2 seneng bgt main di pool nya. <br><br>","{
  ""room_quality"": ""Neutral"",
  ""service_quality"": ""Neutral"",
  ""cleanliness"": ""Positive"",
  ""facilities"": ""Positive"",
  ""checkin_experience"": ""Neutral""
}",Neutral,Neutral,Positive,Positive,Neutral
"April 07, 2026",Traveloka,1,"Terrible experience. The room was dirty and smelled like smoke.

[Translated by System]","{
  ""room_quality"": ""Negative"",
  ""service_quality"": ""Neutral"",
  ""cleanliness"": ""Negative"",
  ""facilities"": ""Neutral"",
  ""checkin_experience"": ""Neutral""
}",Negative,Neutral,Negative,Neutral,Neutral
2026-03-03,agoda.com,10.0 / 10,"<i>overall bagus bgt, bersih dan nyaman. anak2 seneng bgt main di pool nya.</i>","{
  ""room_quality"": ""Neutral"",
  ""service_quality"": ""Neutral"",
  ""cleanliness"": ""Positive"",
  ""facilities"": ""Positive"",
  ""checkin_experience"": ""Neutral""
}",Neutral,Neutral,Positive,Positive,Neutral
06/03/2026,Booking,4/10,"<i>sprei kayak blm diganti, ada noda kuning. minta ganti tpi housekeeping lama.</i>","{
  ""room_quality"": ""Negative"",
  ""service_quality"": ""Negative"",
  ""cleanliness"": ""Negative"",
  ""facilities"": ""Neutral"",
  ""checkin_experience"": ""Neutral""
}",Negative,Negative,Negative,Neutral,Neutral
2026-03-15,Booking.com,5,"biasa aja, standard bintang 3. nothing special.","{
  ""room_quality"": ""Neutral"",
  ""service_quality"": ""Neutral"",
  ""cleanliness"": ""Neutral"",
  ""facilities"": ""Neutral"",
  ""checkin_experience"": ""Neutral""
}",Neutral,Neutral,Neutral,Neutral,Neutral
05/04/2026,Booking.com,6/10,"Check in cepet, tapi kebersihan toilet tolong ditingkatkan lg.","{
  ""room_quality"": ""Neutral"",
  ""service_quality"": ""Positive"",
  ""cleanliness"": ""Negative"",
  ""facilities"": ""Neutral"",
  ""checkin_experience"": ""Positive""
}",Neutral,Positive,Negative,Neutral,Positive
